"id"	"name"	"type"	"path"	"component"	"permission_key"	"status"	"level"	"parent_id"	"sort"	"created_at"	"en_name"
"3f3b402a-9ee6-4e81-a2af-f0b08193b3f9"	"services"	"menu"	"operation/choreography/services"	"operation/choreography/services"	"services_view"	"t"	"3"	"04a45120-815e-4d3a-8f05-e7cdb7f9f696"	"5"	"25/4/2022 07:20:20.906095"	
"9a6e9fe8-4d3e-4a68-a4a9-40eb21950d73"	"pods"	"menu"	"operation/choreography/pods"	"operation/choreography/pods"	"pods_view"	"t"	"3"	"04a45120-815e-4d3a-8f05-e7cdb7f9f696"	"4"	"25/4/2022 07:19:42.897055"	
"29dd820d-e182-443e-90a4-c0baf7db2ebf"	"查询用户"	"button"			"user_check"	"t"	"3"	"2823cb74-b748-43f5-8f54-e59a97efb9f1"	"2"	"15/3/2022 06:21:02.562164"	"check user"
"70b57707-22da-4659-9453-68b2d0bc0bee"	"创建用户"	"button"			"user_create"	"t"	"3"	"2823cb74-b748-43f5-8f54-e59a97efb9f1"	"1"	"15/3/2022 06:20:15.589462"	"create user"
"cb823094-28f7-4a01-ac3e-5e2a7946daa2"	"删除用户"	"button"			"user_delete"	"t"	"3"	"2823cb74-b748-43f5-8f54-e59a97efb9f1"	"3"	"15/3/2022 06:26:30.952095"	"delete user"
"24dadc3a-1712-412f-8deb-f651eff6912e"	"编辑用户"	"button"			"user_edit"	"t"	"3"	"2823cb74-b748-43f5-8f54-e59a97efb9f1"	"4"	"15/3/2022 06:27:00.904731"	"edit user"
"a35818da-3ee9-4d5e-bee5-a13128a9e2ea"	"deployments"	"menu"	"operation/choreography/deployments"	"operation/choreography/deployments"	"deployments_view"	"t"	"3"	"04a45120-815e-4d3a-8f05-e7cdb7f9f696"	"3"	"25/4/2022 07:19:13.423357"	
"eba5c7af-b8ff-4efa-80ce-2707d21e409d"	"创建角色"	"button"			"role_create"	"t"	"3"	"d953e9ee-e0e9-44a2-a044-7270a559e92d"	"1"	"15/3/2022 06:34:04.784489"	"create role"
"c94c9f6e-fa0e-4c60-a8d5-83a8fa414705"	"编辑角色"	"button"			"role_edit"	"t"	"3"	"d953e9ee-e0e9-44a2-a044-7270a559e92d"	"2"	"15/3/2022 06:34:43.21118"	"edit role"
"a8d15b6b-3886-421d-8822-87c3489d2ac6"	"删除角色"	"button"			"role_delete"	"t"	"3"	"d953e9ee-e0e9-44a2-a044-7270a559e92d"	"3"	"15/3/2022 06:35:11.927394"	"delete role"
"4d00e571-0ff5-49ca-9d40-6075f8ba3d5c"	"系统管理"	"directory"		"layout"		"t"	"1"		"6"	"25/2/2022 02:45:40.950756"	"platformSM"
"c4f6a7d5-b71f-4097-a147-f64e8ac49a87"	"查询角色"	"button"			"role_check"	"t"	"3"	"d953e9ee-e0e9-44a2-a044-7270a559e92d"	"4"	"15/3/2022 06:35:50.273441"	"check role"
"d36bf188-73be-43bc-b745-1df5a75ce6c4"	"创建权限"	"button"			"permission_create"	"t"	"3"	"b3f46ecf-2984-43bf-bb47-37e899f921aa"	"1"	"15/3/2022 06:36:28.650381"	"create permission"
"4f4885c6-5403-4310-a7e1-0cd024c19511"	"编辑权限"	"button"			"permission_edit"	"t"	"3"	"b3f46ecf-2984-43bf-bb47-37e899f921aa"	"2"	"15/3/2022 06:36:54.995043"	"edit permission"
"9d902f26-f5c9-43af-bd56-92abcece70d4"	"删除权限"	"button"			"permission_delete"	"t"	"3"	"b3f46ecf-2984-43bf-bb47-37e899f921aa"	"3"	"15/3/2022 06:37:36.326278"	"delete permission"
